Name	Alias	Rarity	Rules Text	Flavor Text	Name 2	Alias 2	Rules Text 2	Flavor Text 2	
Command Tower		common	T: Add one mana of any color in your commander’s color identity.	When defeat is near and guidance is scarce, all eyes look in one direction.	
Exotic Orchard		rare	T: Add one mana of any color that a land an opponent controls could produce.	“It was a strange morning. When we awoke, we found our trees transformed. We didn’t know whether to water them or polish them.”	
Seaside Citadel		uncommon	This land enters tapped.\n T: Add G, W, or U.	For wisdom’s sake, it was built high to gaze on all things. For glory’s sake, it was built high as a testament of power. For strength’s sake, it was built high to repel all attacks.	
Sunpetal Grove		rare	This land enters tapped unless you control a Forest or a Plains.\n T: Add G or W.		
Glacial Fortress		rare	This land enters tapped unless you control a Plains or an Island.\n T: Add W or U.		
Hinterland Harbor		rare	This land enters tapped unless you control a Forest or an Island.\n T: Add G or U.	In places where the sea meets the trees, it’s easy to forget the darkness that rules most of Innistrad.	
Yavimaya Coast		rare	T: Add C.\n T: Add G or U. This land deals 1 damage to you.		
Bountiful Promenade		rare	This land enters tapped unless you have two or more opponents.\n T: Add G or W.	No pilgrimage to Valor’s Reach is complete without a stroll through its celebrated shopping district.	
Sea of Clouds		rare	This land enters tapped unless you have two or more opponents.\n T: Add W or U.	Skybridges from across Kylem converge at the grand stadium of Valor’s Reach.	
Rejuvenating Springs		rare	This land enters tapped unless you have two or more opponents.\n T: Add G or U.	When they’re done pummeling each other, the fighters relax companionably in the springs, warming their sore muscles.	
Prismatic Vista		rare	T, Pay 1 life, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield, then shuffle.	There is beauty in the uncertainty of potential.	
Hallowed Fountain		rare	(T: Add W or U.)\n As this land enters, you may pay 2 life. If you don’t, it enters tapped.		
Breeding Pool		rare	(T: Add G or U.)\n As this land enters, you may pay 2 life. If you don’t, it enters tapped.		
Temple Garden		rare	(T: Add G or W.)\n As this land enters, you may pay 2 life. If you don’t, it enters tapped.		
Castle Ardenvale		rare	This land enters tapped unless you control a Plains.\n T: Add W.\n 2WW, T: Create a 1/1 white Human creature token.	Without Ardenvale’s loyalty, the realm would greedily devour itself.	
Lumbering Falls		rare	This land enters tapped.\n T: Add G or U.\n 2GU: Until end of turn, this land becomes a 3/3 green and blue Elemental creature with hexproof. It’s still a land.		
Forest		common	(T: Add G.)		
Island		common	(T: Add U.)		
Plains		common	(T: Add W.)		
The Spring Court's Respite	Bala Ged Recovery	uncommon	(You may play this card using either face.)\n Return target card from your graveyard to your hand.		Tamlin’s Estate	Bala Ged Sanctuary	uncommon	This land enters tapped.\n T: Add G.	“The grounds were encased by woods, but stretched so far that I could barely see the distant line of the forest.”	
Sol Ring		uncommon	T: Add CC.		
Illyrian Siphon	Arcane Signet	common	T: Add one mana of any color in your commander’s color identity.		
Birds of Paradise		rare	Flying\n T: Add one mana of any color.		
Llanowar Elves		common	T: Add G.	Whenever the Llanowar Elves gather the fruits of their forest, they leave one plant of each type untouched, considering that nature’s portion.	
Elvish Mystic		common	T: Add G.	“Life grows everywhere. My kin merely find those places where it grows strongest.”	
Sylvan Caryatid		rare	Defender, hexproof\n T: Add one mana of any color.	Those who enter the copse never leave. They find peace there and take root, becoming part of the ever-growing grove.	
Mortal Farmer	Avacyn’s Pilgrim	common	T: Add W.	“Avacyn’s protection is everywhere. From the holy church to the sacred glade, all that we see is under her blessed watch.”	
Farseek		common	Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.	“How truly vast this city must be, that I have traveled so far and seen so much, yet never once found the place where the buildings fail.”	
Rampant Growth		common	Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.	“I’ve never *heard* growth before.”	
Nature's Lore		uncommon	Search your library for a Forest card, put that card onto the battlefield, then shuffle.	“She saw what the song spoke of: mossy earth and golden sun, clear rivers and the deep shadows of an ancient forest.”	
Three Visits		common	Search your library for a Forest card, put it onto the battlefield, then shuffle.	“Trying to meet a worthy man in the wrong way is as bad as closing the door on an invited guest.”	
Beast Whisperer		rare	Whenever you cast a creature spell, draw a card.	“The tiniest mouse speaks louder to me than all the festival crowds on Tin Street.”	
Garruk's Uprising		uncommon	When this enchantment enters, if you control a creature with power 4 or greater, draw a card.\n Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it’s attacking.)\n Whenever a creature you control with power 4 or greater enters, draw a card.		
Scion of Rhysand	Scion of Oona	rare	Flash\n Flying\n Other Faerie creatures you control get +1/+1.\n Other Faeries you control have shroud. (This creature can’t be the target of spells or abilities.)		
House of Wind Spirit	Mulldrifter	common	Flying\n When this creature enters, draw two cards.\n Evoke 2U  (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters.)		
Cloudblazer		uncommon	Flying\n When this creature enters, you gain 2 life and draw two cards.	All the aether charts in the world can’t compete with the trained eye of a talented scout.	
Loyal Illyrian	Loyal Drake	uncommon	Flying\n Lieutenant — At the beginning of combat on your turn, if you control your commander, draw a card.	“Something dark and fast and sleek shot for us, and he plunged down and away, swearing.”	
Harmonize		uncommon	Draw three cards.	“Life’s greatest lessons don’t come from focus or concentration. They come from breathing and simply noticing.”	
The Spymaster's Web	Coastal Piracy	uncommon	Whenever a creature you control deals combat damage to an opponent, you may draw a card.	“Azriel would want to know that,” Mor was saying.\n “Azriel can go to hell,” Rhys sniped back. “He likely already knows, anyway.”	
Shamanic Revelation		rare	Draw a card for each creature you control.\n Ferocious — You gain 4 life for each creature you control with power 4 or greater.	First, whispers of ancient days. Then, visions of things to come.	
Elain, Garden Tender	Bennie Bracks, Zoologist	rare	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for 1 or one mana of that creature’s color.)\n At the beginning of each end step, if you created a token this turn, draw a card.	“After all of this... I think the world needs more gardens.”	
Locked Inside	Swords to Plowshares	uncommon	Exile target creature. Its controller gains life equal to its power.	“He’d trapped me in here; he’d locked me up. I might as well have been Under the Mountain.”	
Sent Across the Wall	Path to Exile	uncommon	Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.	“The faerie she killed had to be one of his men, sent across the wall by him like lambs to slaughter.”	
Beast Within		uncommon	Destroy target permanent. Its controller creates a 3/3 green Beast creature token.	“Kill the weak so they can’t drag the strong down to their level. This is true compassion.”	
Tamlin's Provision	Generous Gift	uncommon	Destroy target permanent. Its controller creates a 3/3 green Elephant creature token.	“My life was now owned by the Treaty, but... perhaps I’d been freed in another sort of way.”	
"Don't Move"	Counterspell	uncommon	Counter target spell.	“Don’t touch her.”	
Negate		common	Counter target noncreature spell.	“I am the rock against which the surf crashes. Nothing can break me.”	
Feyre's Denial	Arcane Denial	common	Counter target spell. Its controller may draw up to two cards at the beginning of the next turn’s upkeep.\n You draw a card at the beginning of the next turn’s upkeep.	“I tried to get my traitorous lungs to draw air so I could voice the word. No—no.”	
Rhysand's Protection	Dawn’s Truce	rare	Gift a card  (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)\n You and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn.	“Always,” he promised, kissing my brow, his wings now enveloping me completely. “Always.”	
Reclamation Sage		uncommon	When this creature enters, you may destroy target artifact or enchantment.	“What was once formed by masons, shaped by smiths, or given life by mages, I will return to the embrace of the earth.”	
Knight of Autumn		rare	When this creature enters, choose one —\n • Put two +1/+1 counters on this creature.\n • Destroy target artifact or enchantment.\n • You gain 4 life.		
Adrix and Nev, Twincasters		mythic	Ward 2 (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2.) (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2.)\n If one or more tokens would be created under your control, twice that many of those tokens are created instead.		
